id,timestamp,vehicle_id,position_x,position_y,attack_type,confidence,severity,reconstruction_error,speed,metadata,created_at
1,2026-02-23T20:32:10.138341,0,13.87,28.07,GPS Spoofing,0.9,HIGH,0.1537,,{},2026-02-23 20:32:10
2,2026-02-23T20:32:10.144418,3,62.02,87.88,Sybil Attack,0.8,HIGH,0.1862,,{},2026-02-23 20:32:10
3,2026-02-23T20:32:10.144418,6,29.74,46.54,GPS Spoofing,0.9,HIGH,0.144,,{},2026-02-23 20:32:10
4,2026-02-23T20:32:10.144418,9,78.05,60.66,Sybil Attack,0.8,HIGH,0.2576,,{},2026-02-23 20:32:10
5,2026-02-23T20:32:10.144418,12,48.62,66.37,Sybil Attack,0.8,HIGH,0.2252,,{},2026-02-23 20:32:10
6,2026-02-23T20:32:10.529844,0,15.88,24.88,GPS Spoofing,0.9,HIGH,0.3063,,{},2026-02-23 20:32:10
7,2026-02-23T20:32:10.529844,3,62.97,90.18,GPS Spoofing,0.9,HIGH,0.1757,,{},2026-02-23 20:32:10
8,2026-02-23T20:32:10.529844,6,25.13,42.13,GPS Spoofing,1.0,HIGH,0.2211,,{},2026-02-23 20:32:10
9,2026-02-23T20:32:10.529844,9,78.82,60.73,Sybil Attack,0.8,HIGH,0.2208,,{},2026-02-23 20:32:10
10,2026-02-23T20:32:10.529844,12,48.22,65.68,GPS Spoofing,0.9,HIGH,0.1248,,{},2026-02-23 20:32:10
11,2026-02-23T20:32:10.888205,0,17.88,21.7,GPS Spoofing,0.9,HIGH,0.3171,,{},2026-02-23 20:32:10
12,2026-02-23T20:32:10.888205,3,61.96,87.59,GPS Spoofing,0.9,HIGH,0.1981,,{},2026-02-23 20:32:10
13,2026-02-23T20:32:10.888205,6,20.52,37.72,GPS Spoofing,1.0,HIGH,0.3333,,{},2026-02-23 20:32:10
14,2026-02-23T20:32:10.888205,9,79.59,60.81,Sybil Attack,0.8,HIGH,0.1475,,{},2026-02-23 20:32:10
15,2026-02-23T20:32:10.888205,12,47.83,64.98,GPS Spoofing,0.9,HIGH,0.1507,,{},2026-02-23 20:32:10
16,2026-02-23T20:32:11.246281,0,22.28,21.32,GPS Spoofing,0.9,HIGH,0.3935,,{},2026-02-23 20:32:11
17,2026-02-23T20:32:11.246281,3,64.46,89.63,GPS Spoofing,0.9,HIGH,0.316,,{},2026-02-23 20:32:11
18,2026-02-23T20:32:11.246281,6,17.1,36.04,GPS Spoofing,0.9,HIGH,0.3281,,{},2026-02-23 20:32:11
19,2026-02-23T20:32:11.246281,9,80.36,60.89,Sybil Attack,0.8,HIGH,0.2291,,{},2026-02-23 20:32:11
20,2026-02-23T20:32:11.246281,12,47.43,64.28,GPS Spoofing,0.9,HIGH,0.1636,,{},2026-02-23 20:32:11
21,2026-02-23T20:32:11.629976,0,26.36,16.39,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:11
22,2026-02-23T20:32:11.629976,3,66.96,91.68,GPS Spoofing,0.9,HIGH,0.346,,{},2026-02-23 20:32:11
23,2026-02-23T20:32:11.629976,6,13.69,34.35,GPS Spoofing,0.9,HIGH,0.3126,,{},2026-02-23 20:32:11
24,2026-02-23T20:32:11.629976,9,81.13,60.97,Sybil Attack,0.8,HIGH,0.2475,,{},2026-02-23 20:32:11
25,2026-02-23T20:32:11.629976,12,51.61,64.09,GPS Spoofing,0.9,HIGH,0.273,,{},2026-02-23 20:32:11
26,2026-02-23T20:32:11.997986,0,26.42,20.69,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:12
27,2026-02-23T20:32:11.997986,3,69.46,93.72,GPS Spoofing,0.9,HIGH,0.3303,,{},2026-02-23 20:32:12
28,2026-02-23T20:32:11.997986,6,10.28,32.66,GPS Spoofing,1.0,HIGH,0.2533,,{},2026-02-23 20:32:12
29,2026-02-23T20:32:11.997986,9,81.91,61.05,Sybil Attack,0.8,HIGH,0.2528,,{},2026-02-23 20:32:12
30,2026-02-23T20:32:11.997986,12,55.8,63.91,GPS Spoofing,0.9,HIGH,0.1913,,{},2026-02-23 20:32:12
31,2026-02-23T20:32:12.366496,0,29.88,22.3,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:12
32,2026-02-23T20:32:12.366496,3,71.95,95.77,GPS Spoofing,0.9,HIGH,0.3152,,{},2026-02-23 20:32:12
33,2026-02-23T20:32:12.366496,6,6.87,30.98,GPS Spoofing,1.0,HIGH,0.2481,,{},2026-02-23 20:32:12
34,2026-02-23T20:32:12.366496,9,82.68,61.13,Sybil Attack,0.8,HIGH,0.2359,,{},2026-02-23 20:32:12
35,2026-02-23T20:32:12.366496,12,52.7,59.35,GPS Spoofing,1.0,HIGH,0.3537,,{},2026-02-23 20:32:12
36,2026-02-23T20:32:12.750559,0,30.93,25.67,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:12
37,2026-02-23T20:32:12.750559,3,74.45,97.81,GPS Spoofing,0.9,HIGH,0.4,,{},2026-02-23 20:32:12
38,2026-02-23T20:32:12.750559,6,3.15,30.26,GPS Spoofing,1.0,HIGH,0.3347,,{},2026-02-23 20:32:12
39,2026-02-23T20:32:12.750559,9,83.45,61.21,Sybil Attack,0.8,HIGH,0.1782,,{},2026-02-23 20:32:12
40,2026-02-23T20:32:12.750559,12,49.61,54.79,GPS Spoofing,1.0,HIGH,0.3913,,{},2026-02-23 20:32:12
41,2026-02-23T20:32:13.112107,0,31.97,29.04,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
42,2026-02-23T20:32:13.112107,3,75.31,100.0,GPS Spoofing,0.9,HIGH,0.3291,,{},2026-02-23 20:32:13
43,2026-02-23T20:32:13.112107,6,0.0,29.55,GPS Spoofing,1.0,HIGH,0.3042,,{},2026-02-23 20:32:13
44,2026-02-23T20:32:13.112107,9,83.96,63.45,Sybil Attack,0.5,HIGH,0.2044,,{},2026-02-23 20:32:13
45,2026-02-23T20:32:13.112107,12,46.51,50.24,GPS Spoofing,1.0,HIGH,0.2943,,{},2026-02-23 20:32:13
46,2026-02-23T20:32:13.503770,0,33.01,32.4,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
47,2026-02-23T20:32:13.503770,3,79.49,99.5,GPS Spoofing,0.9,HIGH,0.4,,{},2026-02-23 20:32:13
48,2026-02-23T20:32:13.503770,6,3.71,28.84,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
49,2026-02-23T20:32:13.503770,9,79.85,62.18,GPS Spoofing,0.9,HIGH,0.3043,,{},2026-02-23 20:32:13
50,2026-02-23T20:32:13.503770,12,43.42,45.68,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
51,2026-02-23T20:32:13.863865,0,34.06,35.77,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
52,2026-02-23T20:32:13.863865,3,83.67,99.01,GPS Spoofing,0.9,HIGH,0.4,,{},2026-02-23 20:32:13
53,2026-02-23T20:32:13.863865,6,6.42,25.26,GPS Spoofing,1.0,HIGH,0.3494,,{},2026-02-23 20:32:13
54,2026-02-23T20:32:13.863865,9,75.74,60.91,GPS Spoofing,0.9,HIGH,0.3089,,{},2026-02-23 20:32:13
55,2026-02-23T20:32:13.863865,12,40.32,41.12,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:13
56,2026-02-23T20:32:14.230683,0,30.76,30.98,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:14
57,2026-02-23T20:32:14.230683,3,83.33,95.88,Position Falsification,0.7,MEDIUM,0.3383,,{},2026-02-23 20:32:14
58,2026-02-23T20:32:14.230683,6,5.62,27.83,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:14
59,2026-02-23T20:32:14.230683,9,71.63,59.64,GPS Spoofing,0.9,HIGH,0.229,,{},2026-02-23 20:32:14
60,2026-02-23T20:32:14.230683,12,37.23,36.57,GPS Spoofing,1.0,HIGH,0.3887,,{},2026-02-23 20:32:14
61,2026-02-23T20:32:14.605849,0,27.46,26.2,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:14
62,2026-02-23T20:32:14.605849,3,82.99,92.76,Position Falsification,0.7,MEDIUM,0.3917,,{},2026-02-23 20:32:14
63,2026-02-23T20:32:14.605849,6,4.83,30.4,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:14
64,2026-02-23T20:32:14.605849,9,71.25,60.93,GPS Spoofing,1.0,HIGH,0.264,,{},2026-02-23 20:32:14
65,2026-02-23T20:32:14.605849,12,38.77,37.8,GPS Spoofing,1.0,HIGH,0.3929,,{},2026-02-23 20:32:14
66,2026-02-23T20:32:14.965099,0,29.91,28.08,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:14
67,2026-02-23T20:32:14.965099,3,80.4,96.11,Position Falsification,0.7,MEDIUM,0.3885,,{},2026-02-23 20:32:14
68,2026-02-23T20:32:14.965099,6,4.04,32.97,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:15
69,2026-02-23T20:32:14.965099,9,72.11,64.78,GPS Spoofing,1.0,HIGH,0.3927,,{},2026-02-23 20:32:15
70,2026-02-23T20:32:14.970170,12,40.31,39.03,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:15
71,2026-02-23T20:32:15.356647,0,32.35,29.97,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:15
72,2026-02-23T20:32:15.356647,3,82.79,94.87,GPS Spoofing,0.9,HIGH,0.4,,{},2026-02-23 20:32:15
73,2026-02-23T20:32:15.356647,6,3.25,35.53,GPS Spoofing,1.0,HIGH,0.39,,{},2026-02-23 20:32:15
74,2026-02-23T20:32:15.356647,9,72.96,68.63,GPS Spoofing,1.0,HIGH,0.2815,,{},2026-02-23 20:32:15
75,2026-02-23T20:32:15.356647,12,41.85,40.27,GPS Spoofing,1.0,HIGH,0.2952,,{},2026-02-23 20:32:15
76,2026-02-23T20:32:30.019378,0,29.66,27.11,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:30
77,2026-02-23T20:32:30.019378,3,85.18,93.62,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:30
78,2026-02-23T20:32:30.019378,6,2.45,38.1,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:32:30
79,2026-02-23T20:32:30.019378,9,69.18,68.45,GPS Spoofing,1.0,HIGH,0.338,,{},2026-02-23 20:32:30
80,2026-02-23T20:32:30.019378,12,39.23,39.26,GPS Spoofing,0.9,HIGH,0.39,,{},2026-02-23 20:32:30
81,2026-02-23T20:33:02.477076,0,31.93,28.09,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:33:02
82,2026-02-23T20:33:02.477076,3,87.57,92.38,GPS Spoofing,1.0,HIGH,0.4,,{},2026-02-23 20:33:02
